File name,Tank,Fish ID,Date,Time,Observer,Recorder,Time Period,Bin,Activity,Exploration,Freeze,Unfreeze,Plant,Open,Freeze in Plant,Freeze in Open,Edge,Away From Edge,Looking,Reaction
07-081_E5_after,07-081,E5,04/03/18,1345,AF , BF,after,1,7,6,286020,13980,41725,258275,36737,249283,249692,50308,3330,none
07-081_E6_after,07-081,E6,03/03/18,1525,AP,SR,after,0,4,3,282467,17530,293968,6030,282467,0,2062,297934,0,freeze
07-081_E6_after,07-081,E6,03/03/18,1525,AP,SR,after,1,1,1,211888,82220,262479,31629,205690,6198,0,294108,0,freeze
07-081_E7_after,07-081,E7,03/03/18,1554,SR,AP,after,0,1,1,227722,72275,0,299996,0,227721,250792,49206,188067,jerky swim
07-081_E7_after,07-081,E7,03/03/18,1554,SR,AP,after,1,10,5,103112,190948,0,294060,0,103112,275138,18922,0,jerky swim
07-081_E8_after,07-081,E8,04/04/18,1019,JCK,GZ,after,0,10,4,60998,238999,0,299996,0,60998,220165,79833,0,jerky swim
07-081_E8_after,07-081,E8,04/04/18,1019,JCK,GZ,after,1,15,8,0,3e+05,10864,289136,0,0,233860,66140,8360,jerky swim
11-082_E1_after,11-082,E1,03/29/18,1522,AP,GZ,after,0,33,8,71402,228595,22128,277868,0,71401,133495,166503,0,Freeze
11-082_E1_after,11-082,E1,03/29/18,1522,AP,GZ,after,1,9,6,156083,143667,42190,257560,0,156083,159600,140150,16058,Freeze
11-082_E2_after,11-082,E2,03/29/18,1601,SZ,AP,after,0,1,1,299997,0,299998,0,299997,0,0,299996,0,Freeze
11-082_E2_after,11-082,E2,03/29/18,1601,SZ,AP,after,1,1,1,287422,6429,293851,0,287422,0,0,293851,0,Freeze
11-082_E3_after,11-082,E3,03/30/18,1015,AM,KJ,after,0,1,1,287676,12319,187325,112671,180839,106837,0,299997,140917,none (frozen)
11-082_E3_after,11-082,E3,03/30/18,1015,AM,KJ,after,1,4,3,273395,26605,0,3e+05,0,273395,61891,238109,0,none (frozen)
11-082_E4_after,11-082,E4,03/30/18,1041,AM,KJ,after,0,3,2,273687,24959,267301,31346,266208,7479,9339,289306,4649,none
11-082_E4_after,11-082,E4,03/30/18,1041,AM,KJ,after,1,10,4,233963,66037,93027,206973,92221,141742,104876,195124,561,none
11-082_E5_after,11-082,E5,03/30/20,1141,AM,,after,0,1,1,280566,19432,0,299997,0,280566,292899,7100,0,None
