"","sampleID","group","lib.size","norm.factors","lane","ExpCon","Fry.Number","Tank","Fry.ID","Trt","Date.Dissected","SIDE.RNA","Plate","Sex1","Time.In","Time.Attack","Dissection.START","Dissection.END","Pool","Length","Mass","Father","Group"
"35C4","35C4","1",838583.56916133,1.00881748438062,"_","C","4","35-078","35-078-C4","Day10","3/20/18","L","1","F",NA,NA,11:40:00,"11:43",NA,28.8,0.37,"078","Day10_C_F"
"11E8","11E8","1",1081182.5260503,1.00058722615774,"S","E","8","11-082","11-082-E8","Day0","3/30/18","L","1","F","15:57","16:07",17:09:00,"17:12",2,33.49,0.58,"082","Day0_E_F"
"32E4","32E4","1",1141885.61161345,1.06153978812951,"S","E","4","32-077","32-077-E4","Day0","3/22/18","R","1","M","15:21","15:31",16:30:00,"16:33",2,27.12,0.27,"077","Day0_E_M"
"11C4","11C4","1",1091129.18712188,0.982462896042237,"S","C","4","11-082","11-082-C4","Day0","3/30/18","R","1","M",NA,NA,11:35:00,"11:38",NA,30.7,0.37,"082","Day0_C_M"
"40E8","40E8","1",981968.714543474,0.992635576447984,"_","E","8","40-091","40-091-E8","Day0","4/30/18","L","1","M","11:46","11:56",12:58:00,"13:00",2,34.1,0.66,"091","Day0_E_M"
"30C6","30C6","1",948635.950002446,0.993444259901022,"S","C","6","30-002","30-002-C6","Day0","3/15/18","L","1","F",NA,NA,17:26:00,"17:31",NA,27.78,0.33,"002","Day0_C_F"
"30C12","30C12","1",1015641.55299948,1.0136305100675,"S","C","12","30-002","30-002-C12","Day0","3/16/18","L","1","M",NA,NA,16:46:00,"16:50",NA,32.18,0.46,"002","Day0_C_M"
"39C6","39C6","1",908924.730359589,1.01719040869998,"S","C","6","39-093","39-093-C6","Day0","5/7/18","R","1","F",NA,NA,12:15:00,"12:17",NA,26.51,0.29,"093","Day0_C_F"
"19C6","19C6","1",951050.097167411,0.961450102930813,"S","C","6","19-093","19-093-C6","Day10","4/23/18","R","1","M",NA,NA,12:43:00,"12:46",NA,32.85,0.53,"093","Day10_C_M"
"25E4","25E4","1",967772.248644939,1.05517445947192,"S","E","4","25-081","25-081-E4","Day0","4/9/18","L","1","M","15:39","15:49",16:49:00,"16:52",2,33.16,0.45,"081","Day0_E_M"
"35C1","35C1","1",971530.597040548,1.03153279676264,"S","C","1","35-078","35-078-C1","Day10","3/19/18","R","1","M",NA,NA,12:36:00,"12:40",NA,29.65,0.37,"078","Day10_C_M"
"40E3","40E3","1",1052119.99067776,1.00030328044731,"S","E","3","40-091","40-091-E3","Day0","4/27/18","L","1","M","15:23","15:33",16:34:00,"16:37",1,31.31,0.5,"091","Day0_E_M"
"20E2","20E2","1",834763.049830452,1.00641400292781,"_","E","2","20-091","20-091-E2","Day10","5/8/18","L","1","F","10:49","10:59",12:01:00,"12:05",2,35.37,0.61,"091","Day10_E_F"
"22C5","22C5","1",974770.863897131,1.00128180217327,"S","C","5","22-095","22-095-C5","Day0","4/13/18","L","1","M",NA,NA,16:20:00,"16:24",NA,31.78,0.53,"095","Day0_C_M"
"31E1","31E1","1",1033363.98724871,0.955166422566068,"S","E","1","31-082","31-082-E1","Day10","4/30/18","R","1","F","15:14","15:24",16:29:00,"16:33",1,31.11,0.41,"082","Day10_E_F"
"04E3","04E3","1",1129604.23595103,1.04637455728965,"S","E","3","04-078","04-078-E3","Day0","4/6/18","L","1","M","10:19","10:29",11:35:00,"11:39",1,22.72,0.19,"078","Day0_E_M"
"25C5","25C5","1",788374.22782536,1.00803517219931,"S","C","5","25-081","25-081-C5","Day0","4/10/18","L","1","F",NA,NA,14:38:00,"14:41",NA,30.72,0.46,"081","Day0_C_F"
"39E3","39E3","1",976326.673853667,1.01340198549293,"S","E","3","39-093","39-093-E3","Day0","5/4/18","L","1","M","15:33","15:43",16:47:00,"16:49",1,31.79,0.45,"093","Day0_E_M"
"17C1","17C1","1",737960.535862558,0.98838324515433,"S","C","1","17-095","17-095-C1","Day10","4/24/18","R","1","M",NA,NA,14:55:00,"14:57",NA,32.95,0.46,"095","Day10_C_M"
"07E4","07E4","1",901044.359864496,1.05927953711939,"S","E","4","07-081","07-081-E4","Day10","4/3/18","L","1","F","13:16","13:26",14:26:00,"14:30",1,27.67,0.4,"081","Day10_E_F"
"20E5","20E5","1",754946.362436306,1.04067948438774,"S","E","5","20-091","20-091-E5","Day10","5/9/18","L","1","F","10:20","10:30",11:33:00,"11:36",1,27.43,0.35,"091","Day10_E_F"
"31C3","31C3","1",1112323.18514173,1.01295715319871,"S","C","3","31-082","31-082-C3","Day10","5/1/18","R","1","F",NA,NA,14:37:00,"14:41",NA,30.98,0.45,"082","Day10_C_F"
"19E6","19E6","1",852849.436731319,0.984783888644718,"S","E","6","19-093","19-093-E6","Day10","4/23/18","R","1","M","11:18","11:28",12:32:00,"12:34",1,36.94,0.76,"093","Day10_E_M"
"26C5","26C5","1",987927.286304766,1.01094240100607,"S","C","5","26-077","26-077-C5","Day10","3/27/18","L","1","F",NA,NA,14:46:00,"14:49",NA,34.59,0.6,"077","Day10_C_F"
"22C6","22C6","1",821079.433915301,0.957394173770988,"_","C","6","22-095","22-095-C6","Day0","4/13/18","L","1","M",NA,NA,16:49:00,"16:52",NA,31.26,0.47,"095","Day0_C_M"
"25C4","25C4","1",1094421.69059672,0.992247036506529,"S","C","4","25-081","25-081-C4","Day0","4/9/18","L","1","M",NA,NA,16:59:00,"17:01",NA,30.64,0.45,"081","Day0_C_M"
"04C1","04C1","1",1064203.89897819,0.988568521405457,"S","C","1","04-078","04-078-C1","Day0","4/4/18","R","1","F",NA,NA,12:06:00,"12:09",NA,29.44,0.4,"078","Day0_C_F"
"35C8","35C8","1",1171246.81668138,0.967586340891515,"S","C","8","35-078","35-078-C8","Day10","3/21/18","L","1","M",NA,NA,16:24:00,"16:27",NA,34.89,0.62,"078","Day10_C_M"
"26C4","26C4","1",726990.493593175,1.01614176074815,"S","C","4","26-077","26-077-C4","Day10","3/26/18","L","1","M",NA,NA,16:53:00,"16:56",NA,34.84,0.75,"077","Day10_C_M"
"04C5","04C5","1",883575.128234568,1.01582544260766,"S","C","5","04-078","04-078-C5","Day0","4/6/18","L","1","M",NA,NA,13:04:00,"13:06",NA,30.93,0.47,"078","Day0_C_M"
"26C2","26C2","1",834226.232313555,1.00923945553782,"S","C","2","26-077","26-077-C2","Day10","3/26/18","L","1","F",NA,NA,12:52:00,"12:55",NA,35.45,0.58,"077","Day10_C_F"
"22E1","22E1","1",888152.894167199,1.031125688799,"S","E","1","22-095","22-095-E1","Day0","4/12/18","R","1","F","15:19","15:29",16:30:00,"16:34",1,30.96,0.41,"095","Day0_E_F"
"11E3","11E3","1",772149.736098068,1.02166344847497,"S","E","3","11-082","11-082-E3","Day0","3/30/18","L","1","F","10:15","10:25",11:25:00,"11:28",1,33.97,0.54,"082","Day0_E_F"
"17E4","17E4","1",1001014.48717955,1.02999864916711,"S","E","4","17-095","17-095-E4","Day10","4/24/18","L","1","F","15:44","15:54",16:54:00,"16:57",2,31.68,0.45,"095","Day10_E_F"
"17C6","17C6","1",769088.353910066,1.0305116376956,"S","C","6","17-095","17-095-C6","Day10","4/26/18","L","1","M",NA,NA,16:48:00,"16:50",NA,31.96,0.43,"095","Day10_C_M"
"07E7","07E7","1",1044469.19192962,0.997949763694979,"S","E","7","07-081","07-081-E7","Day10","4/3/18","R","1","F","15:54","16:04",17:04:00,"17:09",2,31.13,0.46,"081","Day10_E_F"
"07E8","07E8","1",898178.702759911,1.03677355479079,"_","E","8","07-081","07-081-E8","Day10","4/4/18","L","1","M","10:19","10:29",11:34:00,"11:38",1,32.29,0.55,"081","Day10_E_M"
"25C2","25C2","1",1031825.76711973,1.05558811108844,"S","C","2","25-081","25-081-C2","Day0","4/9/18","L","1","F",NA,NA,12:50:00,"12:53",NA,28.9,0.32,"081","Day0_C_F"
"07E5","07E5","1",1006849.4454135,1.05664378372137,"S","E","5","07-081","07-081-E5","Day10","4/3/18","R","1","F","13:45","13:55",14:55:00,"14:59",2,28.64,0.33,"081","Day10_E_F"
"20C8","20C8","1",840415.35611576,1.03521228745926,"S","C","8","20-091","20-091-C8","Day10","5/9/18","R","1","M",NA,NA,16:39:00,"16:41",NA,34.87,0.66,"091","Day10_C_M"
"39E2","39E2","1",851970.682092089,1.02356156669429,"S","E","2","39-093","39-093-E2","Day0","5/4/18","L","1","F","10:41","10:51",11:56:00,"11:58",2,30.67,0.42,"093","Day0_E_F"
"04C3","04C3","1",901376.951338506,1.03133672316071,"S","C","3","04-078","04-078-C3","Day0","4/6/18","L","1","F",NA,NA,11:24:00,"11:28",NA,27.27,0.32,"078","Day0_C_F"
"30E6","30E6","1",939260.056549056,1.06280953994905,"S","E","6","30-002","30-002-E6","Day0","3/15/18","L","1","F","16:01","16:11",17:15:00,"17:19",2,26.65,0.29,"002","Day0_E_F"
"26E1","26E1","1",977204.03637149,1.00764499156672,"S","E","1","26-077","26-077-E1","Day10","3/26/18","R","1","M","11:21","11:31",12:34:00,"12:37",1,33.92,0.54,"077","Day10_E_M"
"31E4","31E4","1",904305.403427844,0.979231285216158,"S","E","4","31-082","31-082-E4","Day10","5/1/18","L","1","M","13:35","13:45",14:47:00,"14:50",2,31.61,0.49,"082","Day10_E_M"
"04E4","04E4","1",1069907.88105178,1.00392774199254,"S","E","4","04-078","04-078-E4","Day0","4/6/18","R","1","F","10:48","10:58",11:59:00,"12:02",2,30.82,0.4,"078","Day0_E_F"
"19E7","19E7","1",912406.226843763,0.996049482103395,"_","E","7","19-093","19-093-E7","Day10","4/23/18","L","1","F","11:46","11:56",12:56:00,"12:58",2,32.13,0.57,"093","Day10_E_F"
"39E5","39E5","1",1014848.84508269,1.05494300908601,"S","E","5","39-093","39-093-E5","Day0","5/7/18","L","1","M","10:24","10:34",11:43:00,"11:46",1,35.37,0.68,"093","Day0_E_M"
"19E8","19E8","1",1016347.27941836,0.980942134941906,"S","E","8","19-093","19-093-E8","Day10","4/23/18","R","1","F","15:08","15:18",16:22:00,"16:24",1,29.72,0.36,"093","Day10_E_F"
"04E5","04E5","1",830147.094220669,1.06083798279788,"S","E","5","04-078","04-078-E5","Day0","4/6/18","L","1","M","11:43","11:53",12:55:00,"12:58",1,30.53,0.39,"078","Day0_E_M"
"17E5","17E5","1",883314.79378801,1.00366416365146,"S","E","5","17-095","17-095-E5","Day10","4/26/18","R","1","M","15:21","15:31",16:33:00,"16:37",1,32.13,0.43,"095","Day10_E_M"
"40E7","40E7","1",902034.101440615,1.02334557985948,"S","E","7","40-091","40-091-E7","Day0","4/30/18","R","1","F","11:18","11:28",12:28:00,"12:31",1,32.53,0.46,"091","Day0_E_F"
"11C9","11C9","1",885436.274292243,0.985648102523956,"S","C","9","11-082","11-082-C9","Day0","4/2/18","L","1","M",NA,NA,12:25:00,"12:28",NA,30.28,0.43,"082","Day0_C_M"
"22C2","22C2","1",1008533.64088218,1.07699038043369,"S","C","2","22-095","22-095-C2","Day0","4/12/18","R","1","M",NA,NA,16:46:00,"16:51",NA,29.75,0.36,"095","Day0_C_M"
"22C7","22C7","1",995600.823795394,1.01094084010312,"S","C","7","22-095","22-095-C7","Day0","4/16/18","R","1","M",NA,NA,12:39:00,"12:41",NA,31.51,0.6,"095","Day0_C_M"
"11E1","11E1","1",1239190.82524517,1.04588069617175,"S","E","1","11-082","11-082-E1","Day0","3/29/18","R","1","M","15:22","15:32",16:38:00,"16:41",1,29.05,0.3,"082","Day0_E_M"
"17C2","17C2","1",1121338.87651649,0.976713065983979,"S","C","2","17-095","17-095-C2","Day10","4/24/18","R","1","F",NA,NA,15:01:00,"15:04",NA,33.71,0.56,"095","Day10_C_F"
"11E9","11E9","1",915754.837419031,1.00821190164774,"_","E","9","11-082","11-082-E9","Day0","4/2/18","L","1","M","11:19","11:29",12:33:00,"12:36",1,31.66,0.47,"082","Day0_E_M"
"26E8","26E8","1",1031477.67669983,0.999126945336767,"S","E","8","26-077","26-077-E8","Day10","3/27/18","R","1","F","15:53","16:03",17:08:00,"17:11",2,33.68,0.58,"077","Day10_E_F"
"27C12","27C12","1",1172548.59765639,1.00493197398717,"S","C","12","27-002","27-002-C12","Day10","3/12/18","L","1","M",NA,NA,17:12:00,"17:17",NA,27.45,0.36,"002","Day10_C_M"
"35E1","35E1","1",909072.291822734,1.03922480660151,"S","E","1","35-078","35-078-E1","Day10","3/19/18","R","1","F","10:55","11:05",12:17:00,"12:20",1,30.66,0.35,"078","Day10_E_F"
"19C7","19C7","1",978993.394491719,1.00332091676041,"S","C","7","19-093","19-093-C7","Day10","4/23/18","L","1","F",NA,NA,13:05:00,"13:07",NA,34.38,0.63,"093","Day10_C_F"
"35C7","35C7","1",980390.134274685,1.03404573333152,"S","C","7","35-078","35-078-C7","Day10","3/21/18","R","1","F",NA,NA,16:01:00,"16:04",NA,28.81,0.36,"078","Day10_C_F"
"20C6","20C6","1",995181.108655574,1.01939374898138,"S","C","6","20-091","20-091-C6","Day10","5/9/18","R","1","M",NA,NA,11:55:00,"11:59",NA,27.75,0.36,"091","Day10_C_M"
"32E2","32E2","1",1016234.80044791,1.03792006435243,"S","E","2","32-077","32-077-E2","Day0","3/22/18","R","1","F","11:06","11:16",12:16:00,"12:20",2,29.74,0.36,"077","Day0_E_F"
"40C1","40C1","1",1048467.1119633,1.0819926543586,"S","C","1","40-091","40-091-C1","Day0","4/27/18","L","1","M",NA,NA,13:19:00,"13:22",NA,23.95,0.2,"091","Day0_C_M"
"20E1","20E1","1",999018.554220608,0.967659609263215,"S","E","1","20-091","20-091-E1","Day10","5/8/18","R","1","F","10:22","10:32",11:35:00,"11:37",1,30.52,0.4,"091","Day10_E_F"
"31C2","31C2","1",1169908.73638436,0.974323925835976,"S","C","2","31-082","31-082-C2","Day10","4/30/18","L","1","F",NA,NA,16:45:00,"16:47",NA,32.03,0.47,"082","Day10_C_F"
"32C2","32C2","1",911050.634686209,1.02408274340701,"_","C","2","32-077","32-077-C2","Day0","3/22/18","R","1","F",NA,NA,12:26:00,"12:29",NA,34.88,0.58,"077","Day0_C_F"
"25E3","25E3","1",1161275.61402255,1.02174058877579,"S","E","3","25-081","25-081-E3","Day0","4/9/18","R","1","F","15:12","15:22",16:26:00,"16:29",1,34.11,0.54,"081","Day0_E_F"
"39C7","39C7","1",1058976.31625475,0.976863153313525,"S","C","7","39-093","39-093-C7","Day0","5/7/18","R","1","M",NA,NA,15:45:00,"15:48",NA,33.21,0.53,"093","Day0_C_M"
"39C5","39C5","1",831213.641301269,1.04126488219102,"S","C","5","39-093","39-093-C5","Day0","5/7/18","L","1","M",NA,NA,11:55:00,"11:58",NA,30.84,0.38,"093","Day0_C_M"
"07C3","07C3","1",956473.228952477,1.09448693725316,"S","C","3","07-081","07-081-C3","Day10","4/2/18","R","1","F",NA,NA,16:44:00,"16:47",NA,27.05,0.3,"081","Day10_C_F"
"25C8","25C8","1",992452.895592214,1.02762436718343,"S","C","8","25-081","25-081-C8","Day0","4/10/18","R","1","M",NA,NA,17:12:00,"17:15",NA,31.7,0.49,"081","Day0_C_M"
"19E2","19E2","1",921143.273493993,1.01829244601346,"S","E","2","19-093","19-093-E2","Day10","4/16/18","L","1","M","15:40","15:50",16:55:00,"16:57",2,32.96,0.53,"093","Day10_E_M"
"07C7","07C7","1",943334.247898782,1.04099061884307,"S","C","7","07-081","07-081-C7","Day10","4/3/18","R","1","F",NA,NA,17:18:00,"17:20",NA,34.15,0.53,"081","Day10_C_F"
"04C8","04C8","1",953060.004218201,1.00753862522261,"S","C","8","04-078","04-078-C8","Day0","4/6/18","R","1","M",NA,NA,16:59:00,"17:02",NA,27.73,0.35,"078","Day0_C_M"
"30E11","30E11","1",890030.405159318,1.00759794044883,"S","E","11","30-002","30-002-E11","Day0","3/16/18","R","1","M","15:20","15:30",16:32:00,"16:36",1,30.13,0.43,"002","Day0_E_M"
"32C8","32C8","1",1113061.81506724,1.00382461647754,"S","C","8","32-077","32-077-C8","Day0","3/23/18","L","1","F",NA,NA,16:18:00,"16:22",NA,30.92,0.44,"077","Day0_C_F"
"30E5","30E5","1",1000486.94521033,1.05720269836977,"_","E","5","30-002","30-002-E5","Day0","3/15/18","R","1","M","15:32","15:42",16:45:00,"16:49",1,27.07,0.32,"002","Day0_E_M"
"40C5","40C5","1",1314314.76759956,1.00716476503168,"S","C","5","40-091","40-091-C5","Day0","4/30/18","R","1","M",NA,NA,10:49:00,"10:53",NA,28.72,0.38,"091","Day0_C_M"
"22E3","22E3","1",1160329.98798145,1.00773213410963,"S","E","3","22-095","22-095-E3","Day0","4/13/18","L","1","F","10:48","10:58",12:04:00,"12:09",1,31.06,0.42,"095","Day0_E_F"
"22E5","22E5","1",909520.289996654,1.09690712858752,"S","E","5","22-095","22-095-E5","Day0","4/13/18","L","1","M","15:15","15:25",16:32:00,"16:36",1,25.48,0.24,"095","Day0_E_M"
"07E6","07E6","1",983376.10314846,1.00902346149268,"S","E","6","07-081","07-081-E6","Day10","4/3/18","L","1","F","15:25","15:35",16:39:00,"16:41",1,29.46,0.4,"081","Day10_E_F"
"40C6","40C6","1",1084078.05121792,1.04596819985616,"S","C","6","40-091","40-091-C6","Day0","4/30/18","L","1","M",NA,NA,11:07:00,"11:10",NA,27.35,0.32,"091","Day0_C_M"
"35E4","35E4","1",1044248.39237077,1.00519167003169,"S","E","4","35-078","35-078-E4","Day10","3/20/18","L","1","M","10:17","10:27",11:29:00,"11:31",2,31.99,0.5,"078","Day10_E_M"
"11C1","11C1","1",980018.131173836,0.991372318335735,"S","C","1","11-082","11-082-C1","Day0","3/29/18","R","1","M",NA,NA,16:50:00,"16:52",NA,29.2,0.36,"082","Day0_C_M"
"39C3","39C3","1",1077961.22366342,1.04152352320412,"S","C","3","39-093","39-093-C3","Day0","5/4/18","L","1","M",NA,NA,16:55:00,"16:58",NA,28.49,0.38,"093","Day0_C_M"
"27C13","27C13","1",1061987.2312342,1.05509954142776,"S","C","13","27-002","27-002-C13","Day10","3/13/18","R","1","M",NA,NA,14:59:00,"15:02",NA,30.01,0.45,"002","Day10_C_M"
"07C6","07C6","1",1105997.63492798,0.975846111499022,"S","C","6","07-081","07-081-C6","Day10","4/3/18","L","1","M",NA,NA,16:54:00,"16:57",NA,30.88,0.43,"081","Day10_C_M"
"40C4","40C4","1",977182.707232621,1.02089540675924,"S","C","4","40-091","40-091-C4","Day0","4/27/18","R","2","M",NA,NA,16:54:00,"16:56",NA,30.18,0.38,"091","Day0_C_M"
"31E3","31E3","1",983799.921687221,0.983186413365281,"1","E","3","31-082","31-082-E3","Day10","5/1/18","R","2","F","13:11","13:21",14:26:00,"14:29",1,34.65,0.62,"082","Day10_E_F"
"25C7","25C7","1",1119580.65719012,0.992732301855879,"1","C","7","25-081","25-081-C7","Day0","4/10/18","L","2","F",NA,NA,16:50:00,"16:53",NA,31.71,0.53,"081","Day0_C_F"
"27C14","27C14","1",1232863.4505366,1.00084870535793,"1","C","14","27-002","27-002-C14","Day10","3/13/18","R","2","F",NA,NA,15:26:00,"15:31",NA,29.12,0.37,"002","Day10_C_F"
"17C3","17C3","1",1105360.94981395,1.0027395786004,"1","C","3","17-095","17-095-C3","Day10","4/24/18","L","2","F",NA,NA,16:08:00,"16:13",NA,33.09,0.47,"095","Day10_C_F"
"39E6","39E6","1",1289341.39827591,0.995614278282679,"1","E","6","39-093","39-093-E6","Day0","5/7/18","R","2","F","10:51","11:01",12:04:00,"12:06",2,29.19,0.34,"093","Day0_E_F"
"17C7","17C7","1",1012061.67120141,0.984237283205198,"1","C","7","17-095","17-095-C7","Day10","4/27/18","L","2","M",NA,NA,11:25:00,"11:28",NA,33.49,0.5,"095","Day10_C_M"
"26E6","26E6","1",839441.827110473,0.948078330713624,"1","E","6","26-077","26-077-E6","Day10","3/27/18","R","2","M","13:43","13:53",14:56:00,"15:00",2,34.18,0.6,"077","Day10_E_M"
"30C7","30C7","1",1146831.55308469,1.00212824326954,"1","C","7","30-002","30-002-C7","Day0","3/16/18","R","2","M",NA,NA,11:45:00,"11:50",NA,29.27,0.37,"002","Day0_C_M"
"31E2","31E2","1",1072498.34316109,0.991749136701701,"1","E","2","31-082","31-082-E2","Day10","4/30/18","L","2","M","15:41","15:51",16:54:00,"16:56",2,32.89,0.52,"082","Day10_E_M"
"22C8","22C8","1",1014663.87667278,1.01142428468892,"1","C","8","22-095","22-095-C8","Day0","4/16/18","L","2","F",NA,NA,13:05:00,"13:08",NA,30.17,0.42,"095","Day0_C_F"
"19E1","19E1","1",1282996.23427255,1.04075693530865,"1","E","1","19-093","19-093-E1","Day10","4/16/18","R","2","M","15:13","15:23",16:25:00,"16:28",1,34.32,0.62,"093","Day10_E_M"
"26E3","26E3","1",954446.632559458,0.983531629919435,"S","E","3","26-077","26-077-E3","Day10","3/26/18","R","2","M","15:06","15:16",16:13:00,"16:16",1,24.28,0.26,"077","Day10_E_M"
"39C2","39C2","1",957360.021773913,1.02671128922735,"1","C","2","39-093","39-093-C2","Day0","5/4/18","L","2","M",NA,NA,11:48:00,"11:51",NA,28.21,0.28,"093","Day0_C_M"
"19E3","19E3","1",800777.537889004,1.01269897650923,"1","E","3","19-093","19-093-E3","Day10","4/17/18","L","2","F","15:29","15:39",16:46:00,"16:49",1,32.18,0.45,"093","Day10_E_F"
