"","sampleID","group","lib.size","norm.factors","lane","ExpCon","Fry.Number","Tank","Fry.ID","Trt","Date.Dissected","SIDE.RNA","Plate","Sex1","Time.In","Time.Attack","Dissection.START","Dissection.END","Pool","Length","Mass","Father","Group"
"11E2","11E2","1",930505.946024615,0.993858459678352,"1","E","2","11-082","11-082-E2","Day0","3/29/18","L","2","F","16:01","16:11",17:16:00,"17:19",2,35.31,0.72,"082","Day0_E_F"
"39C1","39C1","1",1137619.80358241,0.992490844817306,"1","C","1","39-093","39-093-C1","Day0","5/4/18","R","2","M",NA,NA,11:35:00,"11:37",NA,31.44,0.47,"093","Day0_C_M"
"04E1","04E1","1",966814.860864047,0.984333035904031,"S","E","1","04-078","04-078-E1","Day0","4/4/18","R","2","M","10:45","10:55",11:56:00,"11:58",2,29.76,0.4,"078","Day0_E_M"
"35C3","35C3","1",897837.004311644,0.998523078980659,"1","C","3","35-078","35-078-C3","Day10","3/20/18","R","2","M",NA,NA,11:20:00,"11:23",NA,28.53,0.32,"078","Day10_C_M"
"31C1","31C1","1",955126.318214275,0.973121276866083,"1","C","1","31-082","31-082-C1","Day10","4/30/18","R","2","F",NA,NA,16:21:00,"16:24",NA,33.7,0.61,"082","Day10_C_F"
"25E8","25E8","1",928077.649401149,1.00140881403533,"1","E","8","25-081","25-081-E8","Day0","4/10/18","R","2","M","16:14","16:24",17:29:00,"17:32",2,34.2,0.62,"081","Day0_E_M"
"22C4","22C4","1",1067762.94758469,0.996134873379462,"1","C","4","22-095","22-095-C4","Day0","4/13/18","R","2","F",NA,NA,12:36:00,"12:38",NA,32.37,0.44,"095","Day0_C_F"
"26C3","26C3","1",942697.910826763,0.966425591960579,"1","C","3","26-077","26-077-C3","Day10","3/26/18","R","2","F",NA,NA,16:28:00,"16:31",NA,26.27,0.33,"077","Day10_C_F"
"27C10","27C10","1",855161.597957159,0.994155468108937,"1","C","10","27-002","27-002-C10","Day10","3/12/18","R","2","M",NA,NA,13:45:00,"13:49",NA,24.43,0.26,"002","Day10_C_M"
"32C4","32C4","1",1094201.88993587,0.991998290103123,"1","C","4","32-077","32-077-C4","Day0","3/22/18","R","2","F",NA,NA,16:18:00,"16:21",NA,31.56,0.42,"077","Day0_C_F"
