Tank,Fry Number,File,Color,Color Number,Time Period,Photo,Mean Dist Shoal,Shoal Mean Sep,Shoal Centroid Size,Shoal Var Sep,Min Dist Fish,Dist Plant,Dist Edge,Dist Sculpin,Dist Moved
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042245,196.3259,128.0958,171.7382,3904.957,177.0975,30.55872,85.08103,NA,NA
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042246,80.58225,120.5857,162.3634,3640.408,50.96199,68.91902,52.27828,NA,76.91048
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042247,103.6589,141.9935,189.8652,4644.438,63.85837,37.74803,14.64027,NA,240.0075
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042248,180.4925,197.1225,268.1263,10884.67,32.57083,74.18844,31.2917,NA,128.3426
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042249,160.0308,156.6089,205.7417,4432.108,46.18855,75.07829,69.36281,NA,96.77513
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042250,84.28467,87.49487,111.7876,810.7495,38.55967,59.69212,61.42598,NA,29.25615
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042251,89.70376,88.24707,120.4118,2254.147,53.19162,55.89581,37.41993,NA,76.34575
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042252,92.04865,59.58975,82.14061,1136.538,54.0158,82.25327,47.01405,NA,177.6292
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042253,99.81271,78.73876,104.9156,1366.074,65.47894,77.01065,57.97202,NA,148.8081
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042254,153.5256,175.3546,227.3201,4440.469,63.21392,41.96455,77.58885,NA,40.19195
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042255,61.96796,69.87066,96.20302,1545.725,29.45334,133.6838,19.26849,NA,195.1603
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042256,131.4659,94.55579,137.4685,4389.122,87.16245,60.91838,34.1776,NA,263.1581
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042257,78.2381,128.3464,167.6421,2715.742,29.4599,86.72448,26.81381,NA,145.548
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042258,97.09906,89.29682,117.0753,1396.603,20.01853,54.872,93.0152,NA,98.25359
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042259,53.57025,36.90328,49.52941,328.3072,39.70839,103.2963,42.33823,NA,179.1759
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042260,108.3298,136.4506,179.2977,3375.622,21.03095,4.850729,45.31543,NA,161.631
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042261,111.3904,132.1858,166.9293,1324.616,57.4384,102.595,15.82583,NA,203.979
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042262,187.6298,131.8392,175.8347,3876.368,62.14702,109.4155,16.42969,NA,239.8754
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042263,85.48964,157.3001,248.7652,19815.33,6.394621,109.4748,19.69854,233.1134,NA
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042264,128.6047,159.4447,240.3017,15688.81,34.09764,105.3519,4.143861,180.667,73.44829
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042265,212.7609,107.9169,153.2899,4822.96,159.0771,100.8412,11.48231,112.3923,80.65765
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042266,245.2552,62.89665,85.2924,1072.648,228.7859,103.2396,20.29934,74.66554,44.26742
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042267,181.6587,103.9459,153.2011,5810.765,58.09091,98.32665,19.634,208.6572,159.1036
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042268,91.89133,72.42059,101.2972,1915.205,40.8706,83.89928,12.2995,233.201,91.66857
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042269,76.1567,61.87381,81.93776,776.994,35.63847,91.95799,5.663694,240.1572,18.56351
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042270,49.8738,80.09794,104.5544,1046.487,19.13646,80.85438,26.32516,225.025,19.12845
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042271,69.69035,77.6306,106.6272,1863.681,40.98274,13.75624,50.91362,162.4174,141.386
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042272,122.9875,208.3912,278.1058,9761.991,43.57586,39.28309,58.62328,118.8887,58.92491
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042273,111.3165,174.4161,244.1118,11167.3,23.57976,43.67124,21.06172,204.7398,112.5296
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042274,69.71992,121.3085,173.8868,6530.389,16.55825,89.56004,33.74711,221.3451,125.9116
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042275,81.37088,84.86421,116.0602,2133.662,35.92297,64.74693,31.58385,211.2594,56.12365
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042276,119.8984,95.93687,130.6991,2621.135,92.91809,43.98649,19.02114,193.4943,131.4109
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042277,99.16913,127.3513,175.1949,5092.589,45.4316,51.37242,40.90067,171.0478,41.4314
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042278,76.04083,55.98664,70.41517,205.2317,45.05701,67.24953,21.13682,190.6665,18.87316
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042279,96.72365,113.3072,163.0967,5874.227,32.0433,65.57626,12.96465,201.2119,14.94512
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042280,104.1307,96.32265,128.8876,2155.948,47.46182,40.55838,39.67107,191.0169,97.99787
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022413,76.18609,78.96064,107.5425,1770.57,47.31055,63.96796,70.11714,NA,NA
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022414,73.14718,70.39847,91.05398,685.5291,32.05446,57.70393,69.82905,NA,8.172102
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022415,119.8526,113.9924,153.451,3244.642,53.21155,46.89165,82.18849,NA,16.72179
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022416,138.6052,157.2735,206.5842,4459.693,47.57397,52.45102,79.48943,NA,9.519158
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022417,114.7997,131.5202,169.0153,2095.866,70.92359,68.70668,70.25902,NA,11.5907
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022418,120.771,132.0284,177.2309,4210.849,61.98368,84.45435,64.15302,NA,25.98075
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022419,102.1683,72.31817,92.68988,597.2286,66.11942,89.93246,65.94025,NA,4.682148
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022420,103.7246,95.77668,127.705,2039.046,42.72277,91.14647,64.95234,NA,5.011379
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022421,93.12122,65.74041,86.04858,737.3237,58.26948,79.56516,67.48304,NA,6.030075
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022422,97.68428,93.69035,123.8264,1732.916,58.52052,91.01234,60.62222,NA,6.54774
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022423,117.1728,156.2509,199.4404,2523.974,53.22814,85.45151,65.14018,NA,6.504656
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022424,98.94565,109.7033,141.7057,1622.631,64.73335,83.10394,66.70986,NA,3.294866
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022425,92.2129,125.3367,159.2112,1427.419,58.49154,83.26303,63.38481,NA,5.016781
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022426,90.86007,142.9582,181.1255,1720.689,45.91255,76.66851,64.85057,NA,19.90556
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022427,113.4387,160.4017,204.1771,2476.2,50.27507,73.2987,61.10585,NA,7.172381
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022428,110.3189,145.4006,188.5449,3069.751,59.98586,74.78654,61.19853,NA,5.893136
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022429,105.468,108.6032,147.3877,3224.939,78.75691,76.2131,60.21225,NA,0.4934931
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022430,104.2846,101.5663,134.7839,2154.518,67.64703,78.17633,64.35465,NA,10.40822
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022431,112.2085,103.846,139.106,2539.589,84.7701,79.47744,59.57583,93.66779,NA
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022432,114.0343,115.214,152.0402,2563.855,76.91188,83.02491,55.5439,110.4713,16.1741
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022433,109.4041,111.2509,148.7964,2860.183,77.8899,78.42517,55.0011,109.5606,3.6676
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022434,113.9095,117.5483,158.3977,3490.754,85.50388,76.23671,54.31346,118.4711,12.86434
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022435,123.6087,123.4235,167.8561,4260.507,98.79823,75.05982,55.71057,126.4745,9.652526
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022436,107.9181,123.6206,167.6009,4133.603,94.16165,36.96718,62.77687,155.6859,35.15827
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022437,126.6377,126.967,175.8848,5403.631,86.32122,47.76797,48.3443,162.5673,14.74638
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022438,122.8643,142.4663,189.2527,4297.306,69.09776,51.81345,49.16759,164.5399,3.221535
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022439,118.3974,128.9849,171.8088,3650.112,76.90056,57.90356,49.21824,159.1089,8.491018
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022440,111.8026,123.3029,163.5355,3150.772,87.29995,68.36691,60.64454,124.0202,34.44602
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022441,107.5783,121.5705,164.6486,3952.054,81.94384,54.54382,74.63646,118.1042,14.18462
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022442,99.07897,132.8498,178.1336,4206.377,85.07062,40.84439,74.88807,139.3782,23.66162
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022443,103.968,122.6364,165.5611,3880.757,68.90437,42.13538,45.02534,172.7247,36.9005
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022444,108.0377,129.7505,171.5325,3336.5,68.427,45.42914,45.71369,179.8517,7.909536
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022445,96.32457,122.5192,164.4529,3622.647,65.97928,42.69971,46.28799,173.6489,7.675591
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022446,103.3555,129.6619,170.9556,3206.001,61.47631,13.03565,49.74838,202.9464,68.0437
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022447,106.1501,124.147,163.3457,2850.485,42.2864,14.42058,40.1827,188.4495,22.6602
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022448,94.4029,120.0508,158.9918,2928.071,44.83267,18.85747,54.01547,192.9488,31.60422
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032472,111.9357,109.533,150.3843,3695.381,80.56169,9.675958,116.3974,NA,NA
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032473,117.2976,83.15218,110.2771,1431.685,92.96627,17.09094,102.9243,NA,14.19694
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032474,69.07881,101.9749,130.4302,1130.974,33.78708,60.83051,72.5299,NA,49.27354
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032475,67.19604,113.2997,149.2909,2426.039,22.195,35.73094,108.3694,NA,56.74671
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032476,111.9748,131.8843,177.2174,4252.637,58.80866,24.15494,107.1536,NA,45.51641
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032477,82.50097,117.5638,153.3593,2229.762,42.02086,34.94245,133.1309,NA,50.47845
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032478,58.35505,86.10268,112.4282,1215.673,31.99712,4.819214,88.30726,NA,0.815892
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032479,134.4428,155.8475,209.9624,6121.238,98.36566,3.909098,89.60131,NA,4.313867
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032480,120.5973,136.2275,177.4042,2908.293,30.30416,81.43067,49.50313,NA,97.31973
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032481,93.89275,65.64262,82.48566,272.3617,54.70426,72.2918,78.11808,NA,64.17175
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032482,61.533,87.55411,116.9427,1741.613,30.67387,31.55181,84.79565,NA,115.3354
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032483,158.1249,112.0092,155.1026,4190.182,95.49322,22.77656,68.00068,NA,73.1125
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032484,122.7479,149.3777,199.2314,4978.071,41.52205,36.9587,83.25946,NA,73.31183
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032485,69.67662,111.5094,139.6833,687.9278,37.88801,18.15938,70.58092,NA,5.252497
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032486,103.3821,124.5734,168.3914,4062.294,62.45682,30.89683,59.12087,NA,50.94867
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032487,96.20698,141.985,183.3725,2708.693,35.81839,10.93282,57.37306,NA,34.92784
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032488,82.61036,111.0928,147.2063,2525.831,53.86879,4.737173,103.9928,NA,42.64011
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032489,98.0893,106.5717,136.5929,1297.063,41.82591,14.65682,53.957,NA,52.07482
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032490,118.1476,132.4538,169.1078,1825.136,22.39108,80.77743,9.082132,131.4536,NA
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032491,114.4706,126.9636,162.2179,1708.015,28.48283,77.34888,10.75892,130.1776,3.478589
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032492,113.3342,126.4246,161.9367,1798.988,27.81728,76.59319,16.43572,126.2383,11.95219
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032493,105.249,98.83739,138.3342,3586.473,55.58202,77.78969,14.74135,124.9895,1.418391
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032494,110.3739,93.52291,137.086,4538.22,94.24202,71.00553,21.56213,118.7365,6.519199
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032495,104.7935,93.9899,138.2508,4689.71,81.70814,64.70412,25.05496,113.6772,7.739276
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032496,75.10517,107.2177,146.7777,3440.187,30.71941,19.17915,69.82392,70.75299,47.57427
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032497,68.08987,101.3193,142.566,3941.343,28.17579,26.33701,56.50375,79.54238,25.12129
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032498,74.71737,115.0427,163.6868,5552.907,22.32757,21.69857,58.50413,84.92892,15.80998
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032499,79.18673,129.4001,180.9571,6103.116,38.97065,1.622693,101.68,81.53933,73.26712
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032500,77.46935,122.5529,170.6505,5274.214,32.13321,18.84418,138.9908,67.00136,38.87468
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032501,95.35529,138.3413,192.1818,6581.1,38.45402,12.09919,87.96924,114.6645,55.29811
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032502,152.8743,140.4224,190.7586,5448.942,77.23107,69.95398,38.79869,177.7066,66.90823
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032503,107.3315,136.7582,191.2008,6802.841,45.3665,31.76838,33.08428,143.9475,50.66303
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032504,81.76822,119.8865,157.0913,2494.815,36.11043,57.71086,25.14013,128.0387,58.117
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032505,59.90821,62.06977,86.8113,1405.774,32.77725,46.02946,37.84523,96.63605,85.81945
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032506,41.6663,67.7889,93.50459,1480.084,23.28781,43.22106,38.85375,95.20838,19.4362
04-078,3,04-078-3 DWL.TPS,green,4,After,G0032507,80.62209,71.5657,91.65707,574.8368,59.90584,41.7907,31.54712,126.6309,80.69489
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062651,160.3268,118.1844,156.1962,2756.735,111.4026,65.35805,75.84245,NA,NA
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062652,137.3199,109.7011,145.5883,2515.542,87.48165,63.70992,67.06219,NA,9.888363
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062653,132.7055,147.1928,192.4901,3643.096,52.51128,56.62086,72.1839,NA,8.475757
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062654,111.2815,90.87787,121.3418,1868.524,27.47329,46.49612,83.3112,NA,9.84962
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062655,116.871,114.1471,145.7144,1350.687,70.01124,30.01818,101.9693,NA,20.14363
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062656,79.72688,107.9097,147.1115,3340.028,52.03383,31.37543,77.68444,NA,14.07932
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062657,110.2507,109.7207,140.0428,1243.23,62.26174,42.5989,68.02175,NA,11.1728
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062658,90.79097,103.3072,136.6847,2139.331,79.34046,35.77349,84.26793,NA,21.63059
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062659,89.58887,94.71511,126.0192,1939.539,61.52705,72.04797,36.66506,NA,49.95573
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062660,98.15158,92.52676,118.6198,983.0899,67.13512,43.28016,74.35974,NA,41.73555
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062661,92.86694,73.93344,97.93135,1113.055,76.19305,58.70606,49.71702,NA,33.91742
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062662,66.20747,87.94451,114.5093,1208.82,39.43253,49.94224,61.61141,NA,11.78424
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062663,93.39108,100.8893,133.961,2142.047,79.62039,49.48822,64.02648,NA,13.26636
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062664,105.7191,89.26916,119.0678,1778.938,79.73076,47.55235,59.23947,NA,30.47926
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062665,93.9263,80.21255,107.0941,1454.448,66.89812,72.25808,50.47663,NA,40.53125
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062666,124.8044,108.3922,156.325,5451.385,29.9412,88.52455,43.60006,NA,49.98171
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062667,135.3201,71.94065,92.04155,566.7686,80.52191,79.09088,48.41939,NA,16.92619
04-078,4,04-078-4 DWL.TPS,purple,2,Before,G0062668,75.33091,84.71982,112.7789,1562.331,43.28016,47.16942,77.75082,NA,33.05876
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062669,78.70703,125.2564,164.3048,2769.869,38.67994,6.369226,79.1598,106.6034,NA
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062670,93.27099,127.4128,167.9299,3079.535,29.10848,2.701714,107.7169,89.8143,30.18865
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062671,95.2362,127.1595,167.5229,3047.693,18.39884,1.381679,117.9282,76.56943,12.90595
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062672,79.78841,125.8029,166.9103,3295.61,22.24643,1.928682,109.0351,84.88996,9.856487
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062673,71.88272,110.7317,149.8582,3252.175,20.93577,0.7493207,111.0959,83.14556,3.61115
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062674,79.14281,109.4397,148.6259,3299.25,18.75735,0.2649249,111.4397,80.73674,1.236947
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062675,89.00892,100.9957,135.1365,2369.353,28.1432,1.386749,125.827,65.59231,14.34024
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062676,95.59146,127.9943,170.724,3658.286,8.178415,1.092313,100.0179,89.24823,25.60112
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062677,101.211,118.8408,160.8295,3745.135,35.0927,1.166873,111.4465,83.59158,14.04102
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062678,125.6727,160.4502,222.9283,8864.497,47.98725,0.837766,110.9754,79.84793,1.381679
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062679,116.4129,132.6231,172.7904,2778.557,50.10541,1.928682,110.5181,82.63966,2.069129
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062680,94.51673,110.696,151.0548,3549.703,43.74903,1.18478,112.8474,79.04756,5.208991
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062681,99.62176,147.4131,211.8278,9820.051,51.4522,1.117719,112.7533,80.64593,3.080428
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062682,89.20709,80.55934,103.5528,790.7801,53.57643,1.308632,136.4459,49.79249,30.92843
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062683,103.3912,85.90966,112.2202,1218.141,35.25631,54.42114,58.30322,118.3142,102.8472
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062684,125.6861,116.4612,161.739,4651.751,32.61783,153.5289,45.61541,124.4441,13.24094
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062685,144.549,160.1372,215.4556,6364.174,36.75225,145.606,50.1197,129.6615,9.362761
04-078,4,04-078-4 DWL.TPS,purple,2,After,G0062686,131.6565,142.5586,191.2104,4861.576,28.89552,140.3254,45.26619,144.1185,15.75802
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082768,155.8758,137.3525,185.5298,4898.202,30.97967,138.7511,269.4593,NA,NA
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082769,131.7139,130.9897,169.9187,2507.919,39.19627,140.7689,258.8786,NA,3.764839
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082770,147.0355,96.57623,125.1381,1335.264,79.11227,121.0253,190.4057,NA,21.07153
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082771,128.1016,92.22628,120.9302,1492.467,63.11679,107.8769,167.9513,NA,25.92198
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082772,115.5557,104.3568,135.5021,1620.255,28.56215,102.0446,196.3593,NA,26.53431
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082773,132.4148,121.608,163.288,3584.156,47.46786,106.6228,198.1358,NA,18.01473
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082774,141.7336,163.6818,215.9619,5161.559,48.12751,99.66466,203.0052,NA,6.678554
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082775,141.052,122.6005,163.1582,3259.402,51.34663,143.814,203.4822,NA,22.84888
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082776,169.2307,141.6788,186.577,3761.318,55.32713,150.917,241.7655,NA,8.535511
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082777,178.1434,122.396,164.3486,3631.441,82.65066,179.0582,255.0251,NA,1.625851
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082778,166.533,114.3579,151.5717,2685.884,63.52343,160.0797,227.9788,NA,33.95697
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082779,143.5613,138.5234,185.2235,4419.709,57.20225,145.1113,215.061,NA,13.47569
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082780,131.5068,182.0798,249.4238,9986.129,34.33095,134.4863,190.3325,NA,47.1521
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082781,96.19184,111.7732,152.1462,3526.861,66.79615,106.4778,108.7696,NA,13.44948
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082782,98.26573,134.2833,180.2485,4353.217,37.90163,93.23735,84.1121,NA,14.35359
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082783,69.07848,98.98349,131.6702,2112.362,7.460693,89.77502,57.62387,NA,2.91548
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082784,66.58133,97.44916,128.1267,1737.554,50.04894,90.49874,103.9888,NA,5.007051
07-081,1,07-081-1 BF.TPS,light blue,2,Before,G0082785,92.30047,116.5844,157.935,3644.476,50.92126,97.00187,122.4127,NA,13.85671
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082786,142.4355,199.5658,273.8777,12215.42,35.65311,174.1173,279.3427,150.3064,NA
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082787,149.7433,202.4464,277.172,12277.98,47.34386,165.0573,265.7826,138.7729,20.8065
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082788,135.5947,196.219,273.3877,13590.39,43.46016,159.9555,268.739,133.2264,11.30371
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082789,120.4775,191.2733,265.217,12369.49,35.55077,163.3652,275.8538,132.6845,14.33227
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082790,141.5425,170.8372,242.6172,12068.07,58.32912,162.4642,274.0811,135.6701,1.652327
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082791,152.3814,173.4864,239.1991,9655.937,68.96984,163.0898,276.4687,142.3939,7.611018
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082792,141.7233,150.5913,195.7799,3450.526,68.32035,161.9639,221.3622,141.6252,2.03771
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082793,158.085,183.2212,245.606,7973.855,72.85275,160.9365,258.1858,152.4242,4.30415
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082794,160.8238,135.7338,187.8316,6116.163,77.00556,173.4558,260.7006,148.5064,1.098018
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082795,166.0794,125.6921,174.138,5301.037,88.32061,161.2238,242.871,145.261,5.024331
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082796,150.8279,125.8209,164.3117,2601.577,83.30161,154.3155,231.92,138.7154,11.19181
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082797,160.5125,172.4965,227.2267,5599.547,75.7018,161.3098,255.8188,135.7103,3.976644
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082798,154.8253,135.1385,179.9322,3985.589,69.29343,149.7107,243.8927,136.214,2.006885
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082799,138.7169,123.1908,160.1257,2301.014,65.39667,144.9226,239.0983,132.3529,5.873063
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082800,138.2106,137.3119,180.2447,3365.048,79.77172,143.1903,211.7559,131.4748,9.335272
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082801,154.2832,138.2951,178.696,2595.18,78.11098,152.3251,242.5139,128.7312,8.230539
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082802,122.0532,76.1955,100.3957,1096.525,74.68289,122.0974,168.8134,128.8662,7.193981
07-081,1,07-081-1 BF.TPS,light blue,2,After,G0082803,97.90195,78.12002,106.4717,1745.695,72.86542,86.67689,134.6987,61.02828,8.467104
07-081,2,07-081-2 BF.TPS,teal,1,Before,G0092826,57.9608,76.0552,102.6664,1491.045,34.66285,31.14489,15.2689,NA,NA
07-081,2,07-081-2 BF.TPS,teal,1,Before,G0092827,69.22901,109.8789,144.5601,2230.071,39.81901,23.77342,37.06216,NA,59.83309
07-081,2,07-081-2 BF.TPS,teal,1,Before,G0092828,89.2122,134.5366,188.9477,6840.887,33.5302,54.5177,11.32314,NA,47.26863
