Date,Tank,Fry Number,Observer,Treatment,Tank Density,Sex,Gonad Sex,Time In,Side White,Time to Enter White,Number Switches,Time in White,Weight,Length
12/4/18,11-082,7,Ken,Day 0,13,M,?,3:35,R,1:52,33,11:37,0.98,44.1
12/5/18,22-095,7,Ken,Day 0,12,M,M,10:13,R,3:23,12,4:35,1.18,43.37
12/5/18,17-095,7,Ken,Day 10,23,F,?,10:45,R,0:59,25,9:32,1.46,50.08
12/5/18,39-093,7,Ken,Day 0,20,F,F,11:18,R,4:38,22,5:26,0.93,41.55
12/5/18,40-091,7,Ken,Day 0,17,F,F,11:48,R,3:26,12,5:28,0.6,36.57
12/7/18,30-002,6,Bethany,Day 0,20,M,M,9:50,L,0:00,18,6:58,0.77,40.21
12/7/18,04-078,6,Bethany,Day 0,16,M,M,10:26,R,2:48,31,10:15,0.78,37.28
12/7/18,19-093,6,Bethany,Day 10,18,F?,F,10:59,L,0:00,7,11:24,1.01,44.39
12/7/18,31-082,6,Bethany,Day 10,8,F?,?,11:34,R,0:56,22,7:29,0.48,33.84
12/10/18,11-082,8,Ken,Day 0,13,M,M,10:01,L,3:57,15,4:15,0.9,40.36
12/10/18,22-095,8,Ken,Day 0,12,F,M,10:29,L,0:00,13,9:29,1.09,40.17
12/10/18,17-095,8,Ken,Day 10,23,M,M,11:11,L,0:37,19,7:56,0.93,42.1
12/10/18,39-093,8,Ken,Day 0,20,F,M,11:41,L,0:24,20,7:23,0.69,39.91
12/10/18,40-091,8,Ken,Day 0,17,M,M,12:13,L,0:00,24,9:21,0.85,42.87
