File name,Tank,Fish ID,Date,Time,Observer,Recorder,Time Period,Bin,Activity,Exploration,Freeze,Unfreeze,Plant,Open,Freeze in Plant,Freeze in Open,Edge,Away From Edge,Looking,Reaction
07-081_E5_before,07-081,E5,04/03/18,1345,AF , BF,before,1,5,5,286308,13692,0,3e+05,0,286308,274698,25302,3e+05,none
07-081_E6_before,07-081,E6,03/03/18,1525,AP,SR,before,0,9,4,218865,81132,235530,64469,204388,14477,0,299998,0,freeze
07-081_E6_before,07-081,E6,03/03/18,1525,AP,SR,before,1,1,1,282879,17121,3e+05,0,282879,0,0,3e+05,0,freeze
07-081_E7_before,07-081,E7,03/03/18,1554,SR,AP,before,0,3,3,272745,27251,0,299998,0,272745,12978,287021,0,jerky swim
07-081_E7_before,07-081,E7,03/03/18,1554,SR,AP,before,1,2,2,167161,132839,60718,239282,40211,126950,188058,111942,0,jerky swim
07-081_E8_before,07-081,E8,04/04/18,1019,JCK,GZ,before,0,9,5,56791,243208,35814,264184,1318,55473,128308,171689,0,jerky swim
07-081_E8_before,07-081,E8,04/04/18,1019,JCK,GZ,before,1,12,3,28499,271501,53781,246219,6293,22206,171474,128526,15758,jerky swim
11-082_E1_before,11-082,E1,03/29/18,1522,AP,GZ,before,0,15,6,147538,152458,220255,79743,147538,0,13562,286437,0,Freeze
11-082_E1_before,11-082,E1,03/29/18,1522,AP,GZ,before,1,58,9,0,3e+05,18487,281513,0,0,131030,168970,8777,Freeze
11-082_E2_before,11-082,E2,03/29/18,1601,SZ,AP,before,0,4,3,243845,56152,56166,243832,37518,206327,1935,298064,0,Freeze
11-082_E2_before,11-082,E2,03/29/18,1601,SZ,AP,before,1,4,3,237070,62930,112042,187958,87170,149900,173796,126204,0,Freeze
11-082_E3_before,11-082,E3,03/30/18,1015,AM,KJ,before,0,8,5,220171,75317,28819,266668,13563,206608,52437,243052,0,none (frozen)
11-082_E3_before,11-082,E3,03/30/18,1015,AM,KJ,before,1,1,1,298424,1576,0,3e+05,0,298424,0,3e+05,218783,none (frozen)
11-082_E4_before,11-082,E4,03/30/18,1041,AM,KJ,before,0,4,4,283858,13742,268557,29044,268437,15421,0,297602,0,none
11-082_E4_before,11-082,E4,03/30/18,1041,AM,KJ,before,1,1,1,3e+05,0,3e+05,0,3e+05,0,0,3e+05,0,none
11-082_E5_before,11-082,E5,03/30/20,1141,AM,,before,0,2,2,283410,16587,294911,5088,283410,0,0,299998,0,None
11-082_E5_before,11-082,E5,03/30/20,1141,AM,,before,1,18,7,112027,187973,187973,112027,109212,2815,30533,269467,0,None
11-082_E6_before,11-082,E6,03/30/20,1211,AM,,before,0,4,3,256527,43470,11960,288039,9416,247111,138726,161272,0,None
11-082_E6_before,11-082,E6,03/30/20,1211,AM,,before,1,1,1,295563,4437,0,3e+05,0,295563,282660,17340,0,None
11-082_E7_before,11-082,E7,03/30/18,1518,SR,GZ,before,0,8,4,57987,242011,0,299997,0,57987,186049,113950,0,freeze
11-082_E7_before,11-082,E7,03/30/18,1518,SR,GZ,before,1,3,2,147242,152758,47643,252357,33233,114009,242794,57206,0,freeze
11-082_E8_before,11-082,E8,03/30/18,1557,GZ,SR,before,0,14,7,205365,94634,246571,53427,202313,3052,28405,271592,43645,None
11-082_E8_before,11-082,E8,03/30/18,1557,GZ,SR,before,1,12,8,239866,60134,205531,94469,201014,38852,89687,210313,0,None
11-082_E9_before,11-082,E9,04/02/18,1119,BF , AF,before,0,11,7,153685,146314,16220,283778,0,153684,73082,226915,0,none
11-082_E9_before,11-082,E9,04/02/18,1119,BF , AF,before,1,1,1,290956,9044,3e+05,0,290956,0,0,3e+05,0,none
17-095_E1_before,17-095,E1,04/24/18,1311,BF , AF,before,0,3,3,296763,3234,297768,2231,296763,0,0,299998,0,none
17-095_E1_before,17-095,E1,04/24/18,1311,BF , AF,before,1,3,2,228239,71761,291376,8624,228239,0,2032,297968,0,none
17-095_E2_before,17-095,E2,04/24/18,1325,AF , BF,before,0,1,1,283757,16242,262189,37808,258399,25358,0,299998,0,none
17-095_E2_before,17-095,E2,04/24/18,1325,AF , BF,before,1,1,1,3e+05,0,3e+05,0,3e+05,0,0,3e+05,0,none
17-095_E3_before,17-095,E3,04/24/18,1515,SR,AP,before,0,1,1,103336,196661,206652,93346,21195,82141,0,299996,0,none
17-095_E3_before,17-095,E3,04/24/18,1515,SR,AP,before,1,1,1,3e+05,0,3e+05,0,3e+05,0,0,3e+05,0,none
17-095_E4_before,17-095,E4,04/24/18,1544,AP,SR,before,0,1,1,290328,9671,273184,26814,269528,20800,0,299997,0,Freeze
17-095_E4_before,17-095,E4,04/24/18,1544,AP,SR,before,1,2,2,247348,52652,291488,8512,247348,0,0,3e+05,0,Freeze
